Song,Lyrics,topic_label,topic_explanation
بيوحشنا,"['ملازمنا', 'ملازمنا', 'خياله', 'وطيفه', 'فين', 'نروح', 'ملازمنا', 'اكمنه', 'الروح', 'بالروح', 'لالالا', 'احب', 'مسموح', 'ملازمنا', 'ملازمنا', 'خياله', 'وطيفه', 'فين', 'نروح', 'ملازمنا', 'اكمنه', 'الروح', 'بالروح', 'لالالا', 'احب', 'مسموح', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'با', 'ليله', 'ورا', 'ليله', 'عشقناه', 'ياما', 'الليل', 'طال', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'شاغلنا', 'شاغلنا', 'تعالي', 'اطمن', 'الاحوال', 'وطمنا', 'ان', 'بنيجي', 'ساعات', 'البال', 'حاجه', 'ان', 'ترد', 'الشوق', 'بسؤال', 'شاغلنا', 'شاغلنا', 'تعالي', 'اطمن', 'الاحوال', 'وطمنا', 'ان', 'بنيجي', 'ساعات', 'البال', 'حاجه', 'ان', 'ترد', 'الشوق', 'بسؤال', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'با', 'ليله', 'ورا', 'ليله', 'عشقناه', 'ياما', 'الليل', 'طال', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله']",Romantic Relationships,"**Romantic Relationships:** The lyrics express longing and missing someone deeply (""We miss him,"" ""His image stays with us,"" ""We fell in love with him""). The repeated phrases emphasize the strong emotions and the persistent presence of this person in their thoughts."
معرفش حد بالأسم ده,"['اعرفش', 'بالاسم', 'انا', 'تاه', 'عقله', 'ولقاه', 'اعرفش', 'بالاسم', 'موهوم', 'بقي', 'وربك', 'هداه', 'هعتبره', 'وقت', 'فراغ', 'وفات', 'او', 'انا', 'اتسليت', 'معاه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'بقي', 'الاولي', 'اكيد', 'انساه', 'انا', 'همشي', 'وابعد', 'سكات', 'انا', 'حر', 'اسموش', 'هروب', 'شافش', 'اي', 'مميزات', 'بالعكس', 'لعيوب', 'جايز', 'سوء', 'اختيار', 'جايز', 'تكفير', 'ذنوب', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه']",Goodbyes,"**Goodbyes/Breakup:** The lyrics describe a definitive end to a relationship. The singer expresses a desire to forget the other person and move on, stating that there's nothing left to remember or hold onto."
ظبط مودها,"['تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'مجنناني', 'ثواني', 'بوصل', 'بمودها', 'للخيال', 'مودها', 'الحنين', 'يهوس', 'يجنن', 'وبقول', 'علي', 'الجمال', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تلاقيها', 'اتغزل', 'كلام', 'يبقي', 'بعينيك', 'دلع', 'جمالها', 'بتجاملها', 'الليالي', 'هتبقي', 'ليك', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده', 'تظبط', 'مودها', 'اطلب', 'حتي', 'عينيها', 'تاخدها', 'واؤمر', 'واحلم', 'اوي', 'بزياده', 'انت', 'تقل', 'مزاجها', 'هتشوف', 'وقت', 'تحتاجها', 'الا', 'الوش', 'الساده']",Romantic Relationships,"**Romantic Relationships**

The lyrics revolve around pleasing a loved one (""تظبط مودها"" - adjust her mood), fulfilling their desires (""اطلب حتي عينيها تاخدها"" - ask for even her eyes to take), and showering them with affection. It speaks to the dynamics of a relationship and how to keep the partner happy."
سلامك وصلي,"['سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سلامك', 'وصلي', 'واكيد', 'حصلك', 'حصلي', 'انا', 'نسيتكش', 'كلام', 'كتير', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سلامك', 'وصلي', 'واكيد', 'حصلك', 'حصلي', 'انا', 'نسيتكش', 'كلام', 'كتير', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير', 'سؤالك', 'عليا', 'خلي', 'حكايتنا', 'تعدي', 'كامله', 'قصاد', 'عينيا', 'انت', 'ازاي', 'الاول', 'مشيت', 'سؤالك', 'عليا', 'خلاني', 'شايف', 'دنيتي', 'الحلوه', 'جايه', 'اما', 'بلوم', 'نسيت', 'سؤالك', 'عليا', 'خلي', 'حكايتنا', 'تعدي', 'كامله', 'قصاد', 'عينيا', 'انت', 'ازاي', 'الاول', 'مشيت', 'سؤالك', 'عليا', 'خلاني', 'شايف', 'دنيتي', 'الحلوه', 'جايه', 'اما', 'بلوم', 'نسيت', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'انا', 'كفايه', 'عليا', 'اردلك', 'السلام', 'هسمع', 'كلام', 'قلبي', 'وهاخد', 'وهجيلك', 'وانا', 'حضني', 'ليك', 'هيقول', 'الكلام', 'حاجات', 'كتير', 'حبيبي', 'تتحكيلك', 'سلامك', 'وصلي', 'واتاريني', 'واحشك', 'انت', 'واحشني', 'وهتفضل', 'ليك', 'قلبي', 'مكان', 'كبير']",Romantic Relationships,"**New in love / Romantic relationships:** The lyrics express longing, mutual affection, and the rekindling of a connection (""I miss you,"" ""You have a big place in my heart,"" ""I will listen to my heart and come to you,"" ""My embrace will tell you many things, my love""). The lyrics also suggest a past separation and a hopeful reunion."
واخدين راحتهم,"['واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'وكانه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه', 'واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'وكانه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه', 'داخلين', 'حياتي', 'حسسوني', 'اني', 'ضيف', 'وبيطلبوا', 'طلبات', 'وفاكرينها', 'ببلاش', 'اعرفه', 'ان', 'الصح', 'يبقي', 'الضيف', 'خفيف', 'وحساب', 'هيدفعه', 'ڤيزا', 'كاش', 'مالهمش', 'دور', 'حياتي', 'اصلا', 'شفافين', 'وتحسهم', 'يعني', 'راضين', 'كمان', 'محتاجين', 'حاجه', 'قولوا', 'بقي', 'مكسوفين', 'انتوا', 'صحاب', 'مكان', 'واخذين', 'راحتهم', 'قاعدين', 'قلبي', 'مربعين', 'وبيعصروه', 'وكانه', 'بيتهم', 'عجبهم', 'الڤيو', 'عايشين', 'حياتهم', 'اتمني', 'يبقوا', 'مبسوطين', 'حاجه', 'ناقصه', 'حاجه', 'ناقصه', 'ننزل', 'بالجاتوه']",Mixed,"**Mixed: Irritation and passive aggression towards people overstaying their welcome and taking advantage of the singer's kindness.**

The lyrics describe people who have entered the singer's life and are behaving as if they own the place, making demands and generally being a burden. The singer expresses both annoyance and a desire for them to be happy, creating a mixed feeling of frustration and passive aggression."
مكانك,"['عارف', 'سنه', 'وانا', 'جنبك', 'بحلم', 'يجي', 'نبقي', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'صوره', 'رسمتها', 'ليك', 'وصاحبتها', 'قصه', 'حبنا', 'خيالي', 'عشتها', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'ياما', 'شغلتني', 'ياما', 'وحشتني', 'واتعلقت', 'بيك', 'قابلتني', 'شافت', 'حلمها', 'والصوره', 'الليله', 'جيت', 'كملتها', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا', 'اتملي', 'حبيت', 'اتخيل', 'قلبي', 'انا', 'انا']",New in love,"**New in love:** The lyrics express feelings of longing, imagination, and finally meeting someone and completing a dream/picture of love. They talk about imagining and filling a heart, and being drawn to someone."
لوحدنا,"['شاغلنا', 'ناس', 'ومين', 'هاممنا', 'يتقال', 'شاغلنا', 'ناس', 'ومين', 'هاممنا', 'يتقال', 'لوحدنا', 'لوحدنا', 'والدنيا', 'انت', 'وانا', 'لوحدنا', 'لوحدنا', 'لوحدنا', 'وملكنا', 'لوحدنا', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'موجود', 'موجود', 'احنا', 'خيالنا', 'خدنا', 'لبعيد', 'حبيبي', 'عيش', 'وسيبنا', 'المود', 'لوحدنا', 'لوحدنا', 'والدنيا', 'انت', 'وانا', 'لوحدنا', 'لوحدنا', 'لوحدنا', 'وملكنا', 'لوحدنا', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'بالف', 'ليله', 'هنعيش', 'الليله', 'الليله', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'بينا', 'الليله', 'حبيبي', 'حبيبي', 'حبيبي']",New in love,"**New in love:** The lyrics emphasize being alone together (""لوحدنا"") with the beloved (""حبيبي"") and living in the moment (""الليله""). The repetition of ""حبيبي"" and phrases about living ""a thousand nights"" highlight the joy and intensity of new love. The lyrics also encourage living in the moment, and not worrying about what others think."
الكلام ليك,"['الكلام', 'ليك', 'انت', 'انت', 'انت', 'اه', 'بحبك', 'انت', 'انت', 'انت', 'اختياري', 'وشاري', 'انا', 'شاري', 'رضاك', 'الدلع', 'ليك', 'انت', 'انت', 'انت', 'خدت', 'بالك', 'انت', 'انت', 'انت', 'انت', 'غالي', 'غالي', 'وبالي', 'معاك', 'الكلام', 'ليك', 'انت', 'انت', 'انت', 'اه', 'بحبك', 'انت', 'انت', 'انت', 'اختياري', 'وشاري', 'انا', 'شاري', 'رضاك', 'الدلع', 'ليك', 'انت', 'انت', 'انت', 'خدت', 'بالك', 'انت', 'انت', 'انت', 'انت', 'غالي', 'غالي', 'وبالي', 'معاك', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب', 'لمره', 'مره', 'مره', 'تعترفلي', 'مره', 'مره', 'مره', 'وتقول', 'حبيبي', 'حبيبي', 'بصوتك', 'ياه', 'قول', 'روحي', 'يلا', 'يلا', 'يلا', 'قول', 'خلي', 'خلي', 'عقلي', 'واهتمامي', 'وروحي', 'وقلبي', 'معاه', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب', 'انا', 'احب', 'احب', 'احب', 'احب', 'اقول', 'ان', 'انت', 'اغلي', 'حب', 'ريت', 'يطول', 'وانك', 'احن', 'قلب']",New in love,"**New in love:** The lyrics express deep affection and adoration for the person being addressed, with declarations of love, describing them as their dearest love (""aghla hob"") and the kindest heart (""ahan qalb""). The singer also expresses a desire to hear the loved one reciprocate these feelings."
ما تتعوضش,"['بعترف', 'ان', 'انت', 'تتعوضش', 'انا', 'حسيته', 'معاك', 'حب', 'بجد', 'وقابلت', 'كتير', 'وعرفت', 'ناس', 'بعديك', 'بعاملهم', 'غرب', 'وكلام', 'علي', 'القد', 'بعترف', 'ان', 'انت', 'تتعوضش', 'انا', 'حسيته', 'معاك', 'حب', 'بجد', 'وقابلت', 'كتير', 'وعرفت', 'ناس', 'بعديك', 'بعاملهم', 'غرب', 'وكلام', 'علي', 'القد', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'افتي', 'ان', 'النسيان', 'بالوقت', 'سايبك', 'امتي', 'وياما', 'اشتقت', 'وان', 'بخبي', 'قلبي', 'عذابي', 'بقيتش', 'خلاص', 'اقدر', 'دلوقت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت', 'بعترف', 'ان', 'انت', 'حبيبي', 'حبيبي', 'انت', 'زلت', 'وكفايه', 'كفايه', 'فرقت', 'نسيتش', 'حاولت']",Goodbyes,"**Goodbyes/Lost Love:** The lyrics express a confession that the person is irreplaceable, a genuine love was felt, and despite meeting others, they are treated as strangers. There's also a struggle to forget the separation and an admission of still missing the person despite attempts to hide it."
مابتغيبش,"['انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'اسمك', 'قدامي', 'اتقال', 'بيحرك', 'قلبي', 'الحال', 'شوف', 'امتي', 'واحنا', 'بعاد', 'الاحساس', 'زال', 'حبيبي', 'سيرتك', 'تتجاب', 'واشوف', 'كلامهم', 'اعجاب', 'انا', 'بفرح', 'قلبي', 'واغير', 'حبيبي', 'الاسباب', 'انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا', 'اوعي', 'فاكر', 'اني', 'نسيت', 'قسيت', 'استغنيت', 'انا', 'عمري', 'حبيت', 'عمري', 'غنيت', 'خد', 'بالك', 'طول', 'انت', 'بعيد', 'حياه', 'جد', 'جديد', 'الشوق', 'بيزيد', 'شاغلني', 'الاوقات', 'انت', 'بتغيبش', 'بتغيبش', 'البال', 'ثانيه', 'بجيبش', 'كتير', 'سيرتك', 'حاجه', 'تانيه', 'حاجه', 'تانيه', 'غيابك', 'حبيبي', 'عيونهم', 'حواليا', 'فبحاول', 'اخبي', 'يبانش', 'الشوق', 'عينيا']",Mixed,"**Longing/Yearning**

The lyrics repeatedly emphasize the singer's inability to forget their beloved (""You are never out of my mind for a second""), their constant thoughts about them, and the pain of their absence (""Your absence, my love""). They also try to hide their longing from others (""I try to hide the longing in my eyes""). This strong focus on missing someone points towards longing as the main theme."
